state,district,floor-num,type,property-type,transaction-date,lot-size,bldg-size,size,report-date,price,ppm,address,scheme,tenure-type,tenure-period,bedroom-num
Kuala Lumpur,Mukim Petaling,2,semid,2 - 2 1/2 Storey Semi-Detached,19/1/2008,0,0,,8/7/2011,1062800,0,"32,JALAN MANDA'RINA DAMAI ",TAMAN BUKIT MANDA'RINA ,Pajakan,99,4
Kuala Lumpur,Mukim Petaling,2,semid,2 - 2 1/2 Storey Semi-Detached,27/10/2010,0,0,,27/4/2011,1493888,0,"14150, ",TMN ALAM DAMAI ,Pajakan,99,4
Kuala Lumpur,Mukim Petaling,2,semid,2 - 2 1/2 Storey Semi-Detached,27/10/2010,0,0,,27/4/2011,1366888,0,"14153, ",TMN ALAM DAMAI ,Pajakan,99,4
Kuala Lumpur,Mukim Batu,2,terrace,2 - 2 1/2 Storey Terraced,20/6/2011,0,0,,20/6/2011,480000,0,"LOT 3,OFF JLN KEPONG ",TMN FADASON ,Pajakan,99,6
Kuala Lumpur,Mukim Batu,2,terrace,2 - 2 1/2 Storey Terraced,12/7/2008,0,0,,8/7/2011,530000,0,"NO. 6,JLN 10/17 ",TMN FADASON ,Pajakan,99,5
Kuala Lumpur,Mukim Batu,3,terrace,2 - 2 1/2 Storey Terraced,22/6/2009,0,0,,27/4/2011,1250000,0,"Z096, PH 3B,JALAN RESIDEN 2 ",DESA PARK CITY (ZENIA) ,Kekal,,4
Kuala Lumpur,Mukim Batu,2,terrace,2 - 2 1/2 Storey Terraced,28/12/2010,0,0,,3/5/2011,890000,0,"9,DUTAMAS ANGGERIK 2 ",KENSINGTON PARKHOMES ,Kekal,,4
Kuala Lumpur,Mukim Kuala Lumpur,2,terrace,2 - 2 1/2 Storey Terraced,27/5/2010,0,0,,22/4/2011,2476519,0,"PL28,KIARA VIEW, SRI HARTAMAS ",KIARA VIEW ,Kekal,,4
Kuala Lumpur,Mukim Kuala Lumpur,2,terrace,2 - 2 1/2 Storey Terraced,15/7/2010,0,0,,22/4/2011,2424423,0,"PL02,KIARA VIEW, SRI HARTAMAS ",KIARA VIEW ,Kekal,,4
Kuala Lumpur,Mukim Kuala Lumpur,2,terrace,2 - 2 1/2 Storey Terraced,3/8/2010,0,0,,22/4/2011,2438213,0,"PL06,KIARA VIEW, SRI HARTAMAS ",KIARA VIEW ,Kekal,,4
Kuala Lumpur,Mukim Kuala Lumpur,2,terrace,2 - 2 1/2 Storey Terraced,24/3/2010,0,0,,22/4/2011,2476519,0,"PL08,KIARA VIEW, SRI HARTAMAS ",KIARA VIEW ,Kekal,,4
Kuala Lumpur,Mukim Kuala Lumpur,2,terrace,2 - 2 1/2 Storey Terraced,15/7/2010,0,0,,22/4/2011,2442299,0,"PL03,KIARA VIEW, SRI HARTAMAS ",KIARA VIEW ,Kekal,,4
Kuala Lumpur,Mukim Kuala Lumpur,2,terrace,2 - 2 1/2 Storey Terraced,15/7/2010,0,0,,22/4/2011,2440894,0,"PL04,KIARA VIEW, SRI HARTAMAS ",KIARA VIEW ,Kekal,,4
Kuala Lumpur,Mukim Kuala Lumpur,2,terrace,2 - 2 1/2 Storey Terraced,3/8/2010,0,0,,22/4/2011,2435404,0,"PL08,KIARA VIEW, SRI HARTAMAS ",KIARA VIEW ,Kekal,,4
Kuala Lumpur,Mukim Kuala Lumpur,2,terrace,2 - 2 1/2 Storey Terraced,3/8/2010,0,0,,22/4/2011,2436808,0,"PL07,KIARA VIEW, SRI HARTAMAS ",KIARA VIEW ,Kekal,,4
Kuala Lumpur,Mukim Kuala Lumpur,2,terrace,2 - 2 1/2 Storey Terraced,2/4/2010,0,0,,22/4/2011,2471029,0,"PL10,KIARA VIEW, SRI HARTAMAS ",KIARA VIEW ,Kekal,,4
Kuala Lumpur,Mukim Kuala Lumpur,2,terrace,2 - 2 1/2 Storey Terraced,20/4/2010,0,0,,22/4/2011,2488905,0,"PL22,KIARA VIEW, SRI HARTAMAS ",KIARA VIEW ,Kekal,,4
Kuala Lumpur,Mukim Kuala Lumpur,2,terrace,2 - 2 1/2 Storey Terraced,12/5/2010,0,0,,22/4/2011,2472433,0,"PL26,KIARA VIEW, SRI HARTAMAS ",KIARA VIEW ,Kekal,,4
Kuala Lumpur,Mukim Kuala Lumpur,2,terrace,2 - 2 1/2 Storey Terraced,12/5/2010,0,0,,22/4/2011,2495673,0,"PL25,KIARA VIEW, SRI HARTAMAS ",KIARA VIEW ,Kekal,,4
Kuala Lumpur,Mukim Kuala Lumpur,2,terrace,2 - 2 1/2 Storey Terraced,24/3/2010,0,0,,22/4/2011,2473710,0,"PL09,KIARA VIEW, SRI HARTAMAS ",KIARA VIEW ,Kekal,,4
Kuala Lumpur,Mukim Batu,3,terrace,2 - 2 1/2 Storey Terraced,10/4/2006,0,0,,20/5/2011,798800,0,"7,RESIDENSI 4 ",LAMAN RESIDENCE ,Pajakan,99,4
Kuala Lumpur,Mukim Batu,3,terrace,2 - 2 1/2 Storey Terraced,25/11/2006,0,0,,12/7/2011,669800,0,"27,JLN RESIDENSI 6 ",LAMAN RESIDENCE ,Pajakan,99,4
Kuala Lumpur,Mukim Petaling,2,terrace,2 - 2 1/2 Storey Terraced,13/12/2010,0,0,,28/4/2011,2790800,0,"45675, ",TAMAN BUKIT MANDA'RINA ,Pajakan,99,4
Kuala Lumpur,Mukim Petaling,2,terrace,2 - 2 1/2 Storey Terraced,20/7/2009,0,0,,12/7/2011,1180704,0,"21,JLN MANDA'RINA DAMAI, FASA 2 ",TAMAN BUKIT MANDA'RINA ,Pajakan,99,4
Kuala Lumpur,Mukim Petaling,2,terrace,2 - 2 1/2 Storey Terraced,27/10/2010,0,0,,27/4/2011,1593888,0,"14142, ",TMN ALAM DAMAI ,Pajakan,99,4
Kuala Lumpur,Mukim Petaling,2,terrace,2 - 2 1/2 Storey Terraced,27/10/2010,0,0,,27/4/2011,1863888,0,"14132, ",TMN ALAM DAMAI ,Pajakan,99,4
Kuala Lumpur,Mukim Petaling,2,terrace,2 - 2 1/2 Storey Terraced,22/10/2010,0,0,,18/5/2011,795888,0,"PT141497, ",TMN ALAM DAMAI ,Pajakan,99,4
Kuala Lumpur,Mukim Petaling,2,terrace,2 - 2 1/2 Storey Terraced,27/10/2010,0,0,,24/5/2011,1698888,0,"14133, ",TMN ALAM DAMAI ,Pajakan,99,4
Kuala Lumpur,Mukim Petaling,2,terrace,2 - 2 1/2 Storey Terraced,22/10/2010,0,0,,8/7/2011,1215888,0,"14202,JALAN DAMAI BUDI 4 ",TMN ALAM DAMAI ,Pajakan,99,4
Kuala Lumpur,Mukim Petaling,2,terrace,2 - 2 1/2 Storey Terraced,27/10/2010,0,0,,13/9/2011,1105888,0,"14175, ",TMN ALAM DAMAI ,Pajakan,99,4
Kuala Lumpur,Mukim Petaling,2,terrace,2 - 2 1/2 Storey Terraced,21/6/2008,0,0,,29/6/2011,470000,0,"17,JALAN 16/149L ",BANDAR BARU SRI PETALING ,Pajakan,99,3
Kuala Lumpur,Mukim Petaling,2,terrace,2 - 2 1/2 Storey Terraced,26/8/2010,0,0,,17/6/2011,350000,0,"16,JLN KINRARA 4/5 ",KINRARA MAS ,Pajakan,99,3
Kuala Lumpur,Mukim Petaling,2,terrace,2 - 2 1/2 Storey Terraced,30/3/2004,0,0,,24/5/2011,400000,0,"NO. 24,JLN DAMAI MURNI 9 ",TMN ALAM DAMAI ,Pajakan,99,3
Kuala Lumpur,Mukim Petaling,2,terrace,2 - 2 1/2 Storey Terraced,7/7/2008,0,0,,8/4/2011,750800,0,"31,JALAN MANDA'RINA ",(Not Available),Pajakan,99,3
Kuala Lumpur,Mukim Petaling,2,terrace,2 - 2 1/2 Storey Terraced,20/1/2008,0,0,,8/4/2011,637800,0,"7,JALAN MANDA'RINA DAMAI ",(Not Available),Pajakan,99,3
Kuala Lumpur,Mukim Batu,2,terrace,2 - 2 1/2 Storey Terraced,28/11/2008,0,0,,25/5/2011,1105800,0,"29,JALAN RESIDENSI 2 ",(Not Available),Pajakan,99,3
Kuala Lumpur,Mukim Petaling,2,terrace,2 - 2 1/2 Storey Terraced,16/12/2010,0,0,,9/5/2011,550000,0,"40263,ALAM SUTERA ",ALAM SUTERA ,Pajakan,92,0
Kuala Lumpur,Mukim Batu,29,condo,Condominium/Apartment,26/6/2005,0,0,,12/8/2011,1857000,0,"G-5-1,JALAN BUKIT KIARA 5 ",HIJAUAN KIARA ,Kekal,,5
Kuala Lumpur,Kuala Lumpur Town Centre,32,condo,Condominium/Apartment,10/12/2004,0,0,,18/4/2011,352040,0,"A-04-02,JALAN TUNG SHIN ",ANGKASA IMPIAN ,Pajakan,94,4
Kuala Lumpur,Kuala Lumpur Town Centre,32,condo,Condominium/Apartment,10/12/2004,0,0,,9/5/2011,352040,0,"A-04-02,JALAN TUNG SHIN ",ANGKASA IMPIAN ,Pajakan,94,4
Kuala Lumpur,Mukim Petaling,13,condo,Condominium/Apartment,10/11/2003,0,0,,6/9/2011,226385,0,"02-10,JLN KLANG LAMA ",CONTINENTAL HEIGHTS CONDO ,Kekal,,4
Kuala Lumpur,Kuala Lumpur Town Centre,34,condo,Condominium/Apartment,28/6/2002,0,0,,20/5/2011,1205550,0,"B-3-3,PERSIARAN HAMPSHIRE ",HAMPSHIRE PARK ,Kekal,,4
Kuala Lumpur,Mukim Batu,30,condo,Condominium/Apartment,18/3/2008,0,0,,20/5/2011,780000,0,"A-7-5,JALAN DESA KIARA, OFF JALAN BUKIT KIARA ",KIARAMAS SUTERA KONDOMINIUM ,Kekal,,4
Kuala Lumpur,Mukim Batu,13,condo,Condominium/Apartment,18/8/1997,0,0,,22/6/2011,178800,0,"B-3A-4,JLN 2-62D ",MEDAN PUTRA CONDOMINIUM ,Pajakan,99,4
Kuala Lumpur,Mukim Batu,13,condo,Condominium/Apartment,18/8/1997,0,0,,4/7/2011,168800,0,"C-9-4,JLN 2-62D ",MEDAN PUTRA CONDOMINIUM ,Pajakan,99,4
Kuala Lumpur,Mukim Batu,13,condo,Condominium/Apartment,14/8/1997,0,0,,30/9/2011,213800,0,"B-10-2,JLN 2-62D ",MEDAN PUTRA CONDOMINIUM ,Pajakan,99,4
Kuala Lumpur,Mukim Petaling,21,condo,Condominium/Apartment,2/5/2006,0,0,,22/4/2011,279880,0,"A-3A-07,JLN 1/155A ",SAVANNA BUKIT JALIL CONDOMINIUM ,Kekal,,4
Kuala Lumpur,Mukim Petaling,21,condo,Condominium/Apartment,10/4/2009,0,0,,2/6/2011,398700,0,"B-10-11,JLN 1/155A ",SAVANNA BUKIT JALIL CONDOMINIUM ,Kekal,,4
Kuala Lumpur,Mukim Petaling,21,condo,Condominium/Apartment,21/3/2006,0,0,,17/6/2011,278880,0,"A-03-03,JLN 1/155A ",SAVANNA BUKIT JALIL CONDOMINIUM ,Kekal,,4
Kuala Lumpur,Mukim Petaling,21,condo,Condominium/Apartment,14/8/2006,0,0,,22/6/2011,278880,0,"A06-05,JLN 1/155A ",SAVANNA BUKIT JALIL CONDOMINIUM ,Kekal,,4
Kuala Lumpur,Mukim Petaling,21,condo,Condominium/Apartment,13/7/2006,0,0,,4/7/2011,282880,0,"A-10-05,JLN 1/155A ",SAVANNA BUKIT JALIL CONDOMINIUM ,Kekal,,4
Kuala Lumpur,Kuala Lumpur Town Centre,36,condo,Condominium/Apartment,9/1/1999,0,0,,22/7/2011,287000,0,"340-1-2,JALAN TUN RAZAK ",VISTA DAMAI ,Kekal,,4
Kuala Lumpur,Kuala Lumpur Town Centre,36,condo,Condominium/Apartment,8/1/1999,0,0,,22/7/2011,231000,0,"340-2-1,JALAN TUN RAZAK ",VISTA DAMAI ,Kekal,,4
Kuala Lumpur,Mukim Batu,,condo,Condominium/Apartment,3/5/2010,0,0,,22/6/2011,445000,0,"B-1-2, ",10 MON'T KIARA ,Kekal,,3
Kuala Lumpur,Mukim Petaling,,condo,Condominium/Apartment,7/3/2003,0,0,,31/3/2011,157000,0,"B-26-03A,JLN PUNCAK GADING ",ANGKASA CONDOMINIUM ,Kekal,,3
Kuala Lumpur,Mukim Kuala Lumpur,20,condo,Condominium/Apartment,25/2/2004,0,0,,20/5/2011,151050,0,"A-3-2,BAYU TASIK 2,JLN PERMAISURI 1 ",BAYU TASIK CONDOMINIUM ,Pajakan,99,3
Kuala Lumpur,Mukim Kuala Lumpur,17,condo,Condominium/Apartment,28/6/2002,0,0,,25/4/2011,96950,0,"65-14-07,JLN JELAWAT 1 ",BINTANG MAS CONDOMINIUM ,Pajakan,87,3
Kuala Lumpur,Mukim Ampang,22,condo,Condominium/Apartment,6/11/2000,0,0,,18/5/2011,230000,0,"277-2-3,JALAN JEJAKA ",CASA RIA ,Pajakan,77,3
Kuala Lumpur,Mukim Kuala Lumpur,20,condo,Condominium/Apartment,12/7/2004,0,0,,16/5/2011,132525,0,"A-01-03A,JLN SRI PERMAISURI 3 ",CENGAL KONDOMINIUM ,Pajakan,99,3
Kuala Lumpur,Mukim Kuala Lumpur,20,condo,Condominium/Apartment,18/4/2005,0,0,,16/5/2011,136710,0,"A-04-17,JLN SRI PERMAISURI 3 ",CENGAL KONDOMINIUM ,Pajakan,99,3
Kuala Lumpur,Mukim Kuala Lumpur,18,condo,Condominium/Apartment,14/5/2002,0,0,,8/4/2011,114300,0,"B-13-1,JALAN DESA ",DANAU MURNI KONDOMINIUM ,Kekal,,3
Kuala Lumpur,Mukim Petaling,19,condo,Condominium/Apartment,21/8/1997,0,0,,19/8/2011,191235,0,"B-9-8,JLN SEKUTU ",DESA CINDAIMAS ,Kekal,,3
Kuala Lumpur,Mukim Batu,,condo,Condominium/Apartment,18/12/2007,0,0,,23/6/2011,336000,0,"3, ",DESA PARK CITY ,Kekal,,3
Kuala Lumpur,Mukim Petaling,20,condo,Condominium/Apartment,7/6/2004,0,0,,31/3/2011,193200,0,"A-04-09,JLN 3/149E ",ENDAH PURI CONDOMINIUM ,Pajakan,99,3
Kuala Lumpur,Mukim Petaling,20,condo,Condominium/Apartment,27/5/2004,0,0,,11/4/2011,153700,0,"B-6-8,JLN 3/149E ",ENDAH PURI CONDOMINIUM ,Pajakan,99,3
